ano,tipo_localizacao,rede,modalidade,grupo,percentual
2016,urbana,privada,ensinofundamentaltotal,4,4.4
2016,rural,privada,ensinofundamentaltotal,5,45.300000000000004
2016,urbana,privada,ensinofundamentaltotal,5,30.2
2016,total,privada,ensinofundamentaltotal,5,30.3
2016,rural,municipal,ensinofundamentaltotal,5,42.1
2016,urbana,municipal,ensinofundamentaltotal,5,15.1
2016,total,municipal,ensinofundamentaltotal,5,23.1
2016,rural,estadual,ensinofundamentaltotal,5,27.1
2016,urbana,estadual,ensinofundamentaltotal,5,6.4
2016,total,estadual,ensinofundamentaltotal,5,8.3
2016,rural,federal,ensinofundamentaltotal,5,5.5
2016,urbana,federal,ensinofundamentaltotal,5,4.2
2016,total,federal,ensinofundamentaltotal,5,4.3
2016,rural,total,ensinofundamentaltotal,5,40.5
2016,urbana,total,ensinofundamentaltotal,5,16.5
2016,total,total,ensinofundamentaltotal,5,21.1
2016,rural,pública,ensinofundamentaltotal,4,2.7
2016,urbana,pública,ensinofundamentaltotal,4,4.2
2016,total,pública,ensinofundamentaltotal,4,3.9
2016,rural,privada,ensinofundamentaltotal,4,4.4
2016,total,municipal,ensinofundamentaltotal,3,19.900000000000002
2016,rural,estadual,ensinofundamentaltotal,3,22.900000000000002
2016,urbana,estadual,ensinofundamentaltotal,3,17.900000000000002
2016,total,estadual,ensinofundamentaltotal,3,18.400000000000002
2016,total,total,ensinofundamentaltotal,2,1.5
2016,rural,pública,ensinofundamentaltotal,1,31.5
2016,urbana,pública,ensinofundamentaltotal,1,64.2
2016,total,pública,ensinofundamentaltotal,1,56.5
2016,rural,privada,ensinofundamentaltotal,1,36.4
2016,urbana,privada,ensinofundamentaltotal,1,50.9
2016,total,privada,ensinofundamentaltotal,1,50.800000000000004
2016,rural,municipal,ensinofundamentaltotal,1,29.900000000000002
2016,urbana,municipal,ensinofundamentaltotal,1,62
2016,total,municipal,ensinofundamentaltotal,1,52.5
2016,rural,estadual,ensinofundamentaltotal,1,43.7
2016,urbana,estadual,ensinofundamentaltotal,1,68.2
